;w;S;Dlat;Dlon;t;sTEC
0;0.2249938755182114;1.5726570346440898;0.03153883699097049;-0.09177401403968233;1.25;138.6390666666667
1;0.2272094022703104;1.5708101909477565;0.03117271000011479;-0.09174238207001828;1.2416666666600005;138.64606666666668
2;0.2294445909346861;1.569006262186077;0.03080776954217257;-0.09171370413337132;1.23333333333;138.5810666666667
3;0.23169956838834532;1.567244928424592;0.03044399149325605;-0.09168793773840633;1.2249999999999996;138.6260666666667
4;0.2339744588876902;1.5655258778030692;0.030081340300265325;-0.09166504846439527;1.2166666666600001;138.6370666666667
5;0.2362692587544991;1.5638496345371327;0.02971982067271306;-0.09164509211609939;1.2083333333299997;138.5870666666667
6;0.23858416737098379;1.5622153458176364;0.029359378128256286;-0.09162797206672124;1.1999999999999993;138.56206666666668
7;0.24091921401784333;1.5606232710134518;0.029000007803570593;-0.0916137140867328;1.1916666666599998;138.6120666666667
8;0.2432745499193331;1.559072850036336;0.028641665390388593;-0.0916022555845013;1.1833333333299993;138.5400666666667
9;0.2456501946288872;1.5575643535015988;0.028284334024309188;-0.09159363061012238;1.174999999999999;138.5370666666667
10;0.24804620429887708;1.5560977821047646;0.02792799918946831;-0.09158783569362305;1.1666666666599994;138.5520666666667
11;0.25046271703855294;1.5546725976545885;0.027572617155363965;-0.09158481090757586;1.158333333329999;138.49106666666668
12;0.25289977945216874;1.55328881544762;0.027218185541672657;-0.09158454870470556;1.1500000000000004;138.51506666666668
13;0.2553574764460811;1.5519461852177983;0.026864658061286795;-0.09158702911615602;1.141666666659999;138.5160666666667
14;0.2578358428402846;1.5506447349978958;0.026512032296430954;-0.09159224665252141;1.1333333333300004;138.5810666666667
15;0.26033490654070907;1.5493844984193779;0.026160270290733645;-0.09160021466975388;1.125;138.6380666666667
16;0.2628547339472521;1.548165245320366;0.025809349407227122;-0.09161090362953073;1.1166666666600005;138.6020666666667
17;0.2653954315603066;1.5469864843031007;0.025459251159168805;-0.09162424769206035;1.10833333333;138.6120666666667
18;0.2679569149342751;1.545848807671178;0.025109953558509535;-0.09164032607508354;1.0999999999999996;138.65106666666668
19;0.27053932287963645;1.544751469424559;0.024761430490468195;-0.09165904321002771;1.0916666666600001;138.6730666666667
20;0.27314260094837706;1.5436948053743917;0.024413663619786585;-0.09168044260280883;1.0833333333299997;138.58606666666668
21;0.2757668273292635;1.5426783538358715;0.02406661163568502;-0.09170447328626996;1.0749999999999993;138.6330666666667
22;0.27841192953219335;1.541702462797842;0.023720279401265643;-0.09173116962360939;1.0666666666599998;138.6900666666667
